speaker,utt_id,utterance,emotion,sentiment,eda1,eda2,eda3,eda4,eda5,EDA,all_match,con_match,match
b'Ses01F_script02_1_M',000,b'',xxx,,sd,qy^d,sd,qy^d,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',001,b'',xxx,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',000,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',002,b'',exc,,qy,qy,qy,qy^d,qy,qy,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',003,b'',xxx,,sd,qy,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_1_F',001,b'',fru,,sd,sd,na,sd,sv,sd,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses01F_script02_1_M',004,b'',xxx,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',005,b'',xxx,,bf,^2,bf,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01F_script02_1_F',002,b'',xxx,,sv,ba,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_1_M',006,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',003,b'',sur,,sd,sd,sd,aa,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',007,b'',neu,,sv,qy,sv,qy,qy^d,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',004,b'',neu,,sd,sv,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_1_M',008,b'',neu,,qy,sd,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_1_F',005,b'',xxx,,sd,sd,na,sd,h,sd,AllNotMatch,NotConMatch,ConfMatchSecond124
b'Ses01F_script02_1_M',009,b'',neu,,sv,ad,sv,ad,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_F',006,b'',ang,,ba,fc,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_1_M',010,b'',neu,,fc,fc,fc,ft,fc,fc,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
