speaker,utt_id,utterance,emotion,sentiment,eda1,eda2,eda3,eda4,eda5,EDA,all_match,con_match,match
b'A',A,"b'Okay, {F uh, }  /'",A,,"fo_o_fw_""_by_bc","fo_o_fw_""_by_bc","fo_o_fw_""_by_bc","fo_o_fw_""_by_bc","fo_o_fw_""_by_bc","fo_o_fw_""_by_bc",AllMatch,NotConMatch,NotMatch
b'A',A,"b'could you tell me what you think contributes most to, {F uh, } air pollution? /'",A,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{D Well, } it's hard to say.  /""",B,,sv,sv,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'B',B,"b""{E I mean, } while it's certainly the case that things like automobiles and factories, {F uh, } pollute a lot, {F uh, } if you look at how much pollution is say kicked up by an active volcano, {F uh, } it's certainly less than clear that anything man can do in this sort of scale of things has much effect at all.  /""",B,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'B',B,b'What do you think? /',B,,qo,qo,qo,qo,qw,qo,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'A',A,"b'{F Um, } {D well, } you talked about, {F uh, } volcanos.  /'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b""I'm not sure how many active volcanos there are now, [ and, + and ] what the amount of material that they do, {F uh, } put into the atmosphere.  /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'I think probably the greatest cause is, {F uh, } vehicles,'",A,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b'{F Um, } {F uh, } do you live right in the city itself? /'",A,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'B',B,"b'No,  /'",B,,nn,nn,nn,nn,nn,nn,AllMatch,NotConMatch,NotMatch
b'B',B,"b""I'm more out in the suburbs,  /""",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'{C but } I certainly work near a city. /',B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'Okay,  /'",A,,bk,b,b,bk,b,b,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'A',A,"b'{C so } [ ca-, +'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'How about you? /',B,,qo,qo,qo,qo,qw,qo,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'A',A,"b""{D well } [ it's, + it's,  ] - /""",A,,%,%,%,%,%,%,AllMatch,NotConMatch,NotMatch
b'A',A,b'I live in a rural area. /',A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""It's mainly farms and, {F uh, } no heavy industry.  /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'Attleboro, itself, - /'",A,,sd,%,sd,sd,%,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'A',A,b'I live in Rhode Island. /',A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'{F Oh, } I see. /'",B,,bk,ba,bk,bk,b,bk,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
