speaker,uttID,utterance,emotion,sentiment,non_con_out,con_out,con_out_mean,match,con_match,EDA,Cor_EDA,all_match
b'Ses01M_impro07_M000',Ses01M_impro07_M000,"b""Check this out.  You know how I've told you I've been really into like softball recently?""",exc,sentiment,sd,qy^d,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F000',Ses01M_impro07_F000,b'Yeah.',neu,sentiment,b,b,b,NotMatch,NotConMatch,b,b,AllMatch
b'Ses01M_impro07_M001',Ses01M_impro07_M001,"b'Well, this is totally random, I got this full ride scholarship to go to U.S.C next year to play softball.'",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_F001',Ses01M_impro07_F001,"b""[LAUGHTER]. For softball? That's unbelievable. Is it slow pitch?""",exc,sentiment,qy,qy^d,qy,Match,NotConMatch,qy,qy,NotMatch
b'Ses01M_impro07_M002',Ses01M_impro07_M002,"b""For softball.  They're going to pay me to go to school. Isn't that awesome?""",exc,sentiment,sd,qy,qy,NotMatch,ConMatch,qy,qy,NotMatch
b'Ses01M_impro07_M003',Ses01M_impro07_M003,"b""Yeah.  Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit.  But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here.""",exc,sentiment,sd,sd,na,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F002',Ses01M_impro07_F002,b'Uh huh.',xxx,sentiment,b,b,b,NotMatch,NotConMatch,b,b,AllMatch
b'Ses01M_impro07_F003',Ses01M_impro07_F003,b'Pinch hitting softball.',exc,sentiment,bf,sd,bf,Match,NotConMatch,bf,bf,NotMatch
b'Ses01M_impro07_F004',Ses01M_impro07_F004,b'That is incredible.',exc,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_impro07_F005',Ses01M_impro07_F005,"b""That's amazing. They pay for everything?""",exc,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_impro07_M004',Ses01M_impro07_M004,"b'I know. For softball, yeah.'",exc,sentiment,sd,aa,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F006',Ses01M_impro07_F006,"b'Your housing, books, everything? That is incredible.'",exc,sentiment,sv,qy,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_impro07_M005',Ses01M_impro07_M005,"b""Yeah, everything. Every like- free ride and I get to, you know, like be on like a Trojans sports team too. And it's like cool. Isn't it awesome?""",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_F007',Ses01M_impro07_F007,b'That is incredible. Do you get like a per diem?',exc,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01M_impro07_M006',Ses01M_impro07_M006,"b""I don't know. I should ask. Yeah, I will.""",hap,sentiment,sd,sd,na,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F008',Ses01M_impro07_F008,b'You should...You should look into that.',exc,sentiment,sv,ad,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_impro07_F009',Ses01M_impro07_F009,"b'That is amazing, congratulations. Good for you.'",exc,sentiment,ba,fc,fc,NotMatch,ConMatch,fc,fc,NotMatch
b'Ses01M_impro07_M007',Ses01M_impro07_M007,b'Thank you.',exc,sentiment,fc,ft,fc,Match,NotConMatch,fc,fc,NotMatch
b'Ses01M_impro07_M008',Ses01M_impro07_M008,"b""But I don't know I want to live in the housing that they give me though 'cause I think I want to you know like get like a nicer place.""",exc,sentiment,sd,fc,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F010',Ses01M_impro07_F010,b'Oh.',neu,sentiment,b,b,b,NotMatch,NotConMatch,b,b,AllMatch
b'Ses01M_impro07_F011',Ses01M_impro07_F011,"b'Yeah, that you probably. You should see one of these Victorian houses around by.'",exc,sentiment,sv,qy^d,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_impro07_M009',Ses01M_impro07_M009,b'Where should I move?',exc,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01M_impro07_M010',Ses01M_impro07_M010,"b""That's a really good idea. Or I could go to like Santa Monica. Go beach. Venice beach, yeah a little dirty though. I don't want to go to Venice beach. But - Malibu. All right.""",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_F012',Ses01M_impro07_F012,b'Oh. Venice beach.',neu,sentiment,sd,b^m,sv,NotMatch,NotConMatch,b^m,CORRECT,NotMatch
b'Ses01M_impro07_F013',Ses01M_impro07_F013,"b""Oh, you don't like that. You're west-sider?""",exc,sentiment,qy,sv,qy,Match,NotConMatch,qy,qy,NotMatch
b'Ses01M_impro07_F014',Ses01M_impro07_F014,"b""Okay. That would be way too much of a commute you can't do that. Especially- I know especially from--I don't know, what I was going to say, I don't know.""",exc,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_impro07_M011',Ses01M_impro07_M011,b'Professional softball player Malibu. [LAUGHTER]',hap,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_M012',Ses01M_impro07_M012,"b""From where? Huh? Well I'm from San Francisco.""",xxx,sentiment,sd,qy^d,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F015',Ses01M_impro07_F015,"b""I don't know. Commuting from what Malibu that would be ridiculous.""",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_M013',Ses01M_impro07_M013,"b'Oh yeah, that would be.  Well, depends on what type of car you had, though too. I guess it would be worth it. helicopter. Yeah, helicopter.  There is a helipad there, right? Yeah, exactly.'",hap,sentiment,sv,sd,ad,NotMatch,NotConMatch,sd,CORRECT,NotMatch
b'Ses01M_impro07_F016',Ses01M_impro07_F016,"b""Oh yeah. He'd drop you right off at practice?""",exc,sentiment,sd,qy,ad,NotMatch,NotConMatch,qy,CORRECT,NotMatch
b'Ses01M_impro07_F017',Ses01M_impro07_F017,"b""Do you--are you one of those like four a clock in the morning practices?  Is it--that's more like swimming and- --ballet and things like that.""",xxx,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01M_impro07_M014',Ses01M_impro07_M014,"b""Yeah. I think it's in the afternoon 'cause I mean can't be too early 'cause then you can't see the ball.""",xxx,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_impro07_F018',Ses01M_impro07_F018,"b""They have those neon--softballs.  They're like day-glow you can see them anywhere.""",exc,sentiment,sv,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
