speaker,uttID,utterance,emotion,non_con_out,con_out,con_out_mean,match,con_match,pre-final-DA,all_match
b'Chandler',0,b'also I was the point person on my company\xc2\x92s transition from the KL-5 to GR-6 system.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'The Interviewer',1,b'You must\xc2\x92ve had your hands full.',neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Chandler',2,b'That I did. That I did.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'The Interviewer',3,b'So let\xc2\x92s talk a little bit about your duties.',neutral,sd,sv,sv,Match,ConMatch,sv,NotMatch
b'Chandler',4,b'My duties?  All right.',surprise,fc,fc,qy,Match,NotConMatch,fc,NotMatch
b'The Interviewer',5,"b'Now you\xc2\x92ll be heading a whole division, so you\xc2\x92ll have a lot of duties.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',6,b'I see.',neutral,bk,b,bk,Match,NotConMatch,bk,NotMatch
b'The Interviewer',7,b'But there\xc2\x92ll be perhaps 30 people under you so you can dump a certain amount on them.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',8,b'Good to know.',neutral,sv,ba,sv,Match,NotConMatch,sv,NotMatch
b'The Interviewer',9,b'We can go into detail',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',10,b'No don\xc2\x92t I beg of you!',fear,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'The Interviewer',11,"b'All right then, we\xc2\x92ll have a definite answer for you on Monday, but I think I can say with some confidence, you\xc2\x92ll fit in well here.'",neutral,sd,sv,sd,Match,NotConMatch,sd,NotMatch
b'Chandler',12,b'Really?!',surprise,bh,bh,qy,Match,NotConMatch,bh,NotMatch
b'The Interviewer',13,b'Absolutely.  You can relax',neutral,sd,sv,sv,Match,ConMatch,sv,NotMatch
b'Joey',0,b'But then who? The waitress I went out with last month?',surprise,sd,qw,qw,Match,ConMatch,qw,NotMatch
b'Rachel',1,b'You know? Forget it!',sadness,qy^d,ad,qh,NotMatch,NotConMatch,qh,NotMatch
b'Joey',2,"b'No-no-no-no, no! Who, who were you talking about?'",surprise,qy,qw,^q,NotMatch,NotConMatch,qw,NotMatch
b'Rachel',3,"b""No, I-I-I-I don't, I actually don't know""",fear,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',4,b'Ok!',neutral,fp,bk,fo_o_fw_"_by_bc,NotMatch,NotConMatch,bk,NotMatch
b'Joey',5,"b'All right, well...'",neutral,fc,b,fc,Match,NotConMatch,fc,NotMatch
b'Rachel',8,"b'Yeah, sure!'",neutral,b,ba,fc,NotMatch,NotConMatch,b,NotMatch
b'Chandler',0,"b'Hey, Mon.'",neutral,ba,fc,fc,Match,ConMatch,fc,NotMatch
b'Monica',1,b'Hey-hey-hey. You wanna hear something that sucks.',neutral,^q,fc,fc,Match,ConMatch,fc,NotMatch
b'Chandler',2,b'Do I ever.',joy,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Monica',3,b'Chris says they\xc2\x92re closing down the bar.',sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',4,b'No way!',surprise,sv,bf,sv,Match,NotConMatch,sv,NotMatch
b'Monica',5,"b'Yeah, apparently they\xc2\x92re turning it into some kinda coffee place.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',6,b'Just coffee! Where are we gonna hang out now?',disgust,qw,qy,qw,Match,NotConMatch,qw,NotMatch
b'Monica',7,b'Got me.',sadness,sd,ad,sd,Match,NotConMatch,sd,NotMatch
b'Chandler',8,b'Can I get a beer.',neutral,sd,ad,sd,Match,NotConMatch,sd,NotMatch
b'Monica',9,"b'Hey, did you pick a roommate?'",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Chandler',10,b'You betcha!',joy,ba,ba,sv,Match,NotConMatch,ba,NotMatch
b'Monica',11,b'Is it the Italian guy?',neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Chandler',12,"b'Um-mm, yeah right!'",joy,aa,ng,ny,NotMatch,NotConMatch,ny,NotMatch
b'Phoebe',0,"b'Oh my God, oh my God! Poor Monica!'",surprise,ba,ba,^h,Match,NotConMatch,ba,NotMatch
b'Chandler',1,"b'What, what, what?!'",surprise,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Phoebe',2,b'What?!',surprise,qw,br,qw,Match,NotConMatch,qw,NotMatch
b'Phoebe',3,b'He was with her when he wrote this poem.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',4,"b""Look,  'My vessel so empty with nothing inside.""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',5,"b""Now that I've touched you, you seem emptier still.'""",neutral,sd,sd,qy^d,Match,NotConMatch,sd,NotMatch
b'Phoebe',6,"b'He thinks Monica is empty, she is the empty vase!'",surprise,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',8,"b'Oh, totally. Oh, God, oh, she seemed so happy too.'",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',9,b'Done.',neutral,aa,bf,sd,NotMatch,NotConMatch,bf,NotMatch
b'Rachel',0,b'Hey!',surprise,ba,ba,ba,Match,ConMatch,ba,AllMatch
b'Ross',1,b'Hi!',joy,fp,fp,fp,Match,ConMatch,fp,AllMatch
b'Rachel',2,b'What are you doing here?',surprise,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Ross',3,"b""Ah y'know, this building is on my paper route so I...""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Rachel',4,b'Oh.',neutral,b,b,b,Match,ConMatch,b,AllMatch
b'Ross',5,b'Hi.',neutral,fp,fp,fp,Match,ConMatch,fp,AllMatch
b'Rachel',6,b'Hi.',neutral,fp,fp,fp,Match,ConMatch,fp,AllMatch
b'Ross',7,b'How\xc2\x92d did it go?',neutral,qy,fp,qy,Match,NotConMatch,qy,NotMatch
b'Rachel',8,"b""Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn\xc2\x92t shut up.""",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',9,b'I\xc2\x92m so proud of you.',joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Rachel',10,b'Me too!',joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',11,"b'Listen, I\xc2\x92m ah, I\xc2\x92m sorry I\xc2\x92ve been so crazy and jealous and, it\xc2\x92s just that I like you a lot, so...'",sadness,sd,sv,sd,Match,NotConMatch,sd,NotMatch
b'Rachel',12,b'I know.',neutral,sd,aa,sd,Match,NotConMatch,sd,NotMatch
b'Ross',13,b'Yeah.',neutral,b,b,b,Match,ConMatch,b,AllMatch
b'Rachel',14,b'Yeah.',neutral,b,b,b,Match,ConMatch,b,AllMatch
b'Phoebe',0,b'Ameri-can.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',1,b'Ameri-ccan.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',2,b"Ameri-can. Y'know it\xc2\x92s a",neutral,sd,sd,b^m,Match,NotConMatch,sd,NotMatch
b'Sergei',3,b'Everybody!!',surprise,ba,ba,qy^d,Match,NotConMatch,ba,NotMatch
b'Chandler',0,b'Good job Joe! Well done! Top notch!',joy,fc,ba,t3,NotMatch,NotConMatch,ba,NotMatch
b'Joey',1,b'You liked it? You really liked it?',surprise,qy^d,qy,qy,Match,ConMatch,qy,NotMatch
b'Chandler',2,"b'Oh-ho-ho, yeah!'",joy,b,ny,ny,Match,ConMatch,ny,NotMatch
b'Joey',3,b'Which part exactly?',neutral,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Chandler',4,b'The whole thing! Can we go?',neutral,sd,qy,qy,Match,ConMatch,qy,NotMatch
b'Joey',5,"b'Oh no-no-no, give me some specifics.'",anger,aa,^q,^h,NotMatch,NotConMatch,^h,NotMatch
b'Chandler',6,"b'I love the specifics, the specifics were the best part!'",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',7,"b'Hey, what about the scene with the kangaroo? Did-did you like that part?'",neutral,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Chandler',8,b'I was surprised to see a kangaroo in a World War I epic.',surprise,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',9,b'You fell asleep!!',anger,qy^d,sd,sd,Match,ConMatch,sd,NotMatch
b'Joey',10,b'There was no kangaroo!',anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',11,b'They didn\xc2\x92t take any of my suggestions!',anger,sd,^q,sd,Match,NotConMatch,sd,NotMatch
b'Joey',12,b'That\xc2\x92s for coming buddy.',neutral,sd,bf,bf,Match,ConMatch,bf,NotMatch
b'Joey',13,b'I\xc2\x92ll see you later.',neutral,sd,fc,ad,NotMatch,NotConMatch,fc,NotMatch
b'Chandler',14,b'Don\xc2\x92t go!',sadness,sd,ad,ad,Match,ConMatch,ad,NotMatch
b'Chandler',15,b'I\xc2\x92m sorry.',sadness,ba,fc,fc,Match,ConMatch,fc,NotMatch
b'Chandler',16,b'I\xc2\x92m so sorry!',sadness,fc,fc,sd,Match,NotConMatch,fc,NotMatch
b'Chandler',17,b'Look!',surprise,ba,fc,ad,NotMatch,NotConMatch,ad,NotMatch
b'Chandler',18,b'This guy fell asleep!',anger,sd,fc,^q,NotMatch,NotConMatch,sd,NotMatch
b'Chandler',19,b'He fell asleep too!',anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',20,b'Be mad at him!',anger,sv,sd,sd,Match,ConMatch,sd,NotMatch
b'Chandler',21,"b'Or, call an ambulance.'",anger,sd,sd,sv,Match,NotConMatch,sd,NotMatch
b'Joey',0,"b'Okay, look, I think we have to tell Rachel she messed up her dessert.'",neutral,sd,sd,sv,Match,NotConMatch,sd,NotMatch
b'Ross',1,"b'What?! What is with everybody? It\xc2\x92s Thanksgiving, not...Truth-Day!'",anger,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Phoebe',0,"b'Yes, and it is my dying wish to have that ring.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
