speaker_id,utterance,emotion,v,a,d,emo_evo,start,end
Ses01F_script02_1_M000,"What time is it?  I think it's supposed to run around midnight, right?  God, this is great, isn't it, Carla?  Look at this night we got here, huh.",xxx,4.5,3.5,2.5,"[['exc'], ['oth', 'hap'], ['exc', 'hap']]",1.8151,9.035
Ses01F_script02_1_M001,"Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?",xxx,4.0,3.0,2.5,"[['neu'], ['hap'], ['exc']]",9.0925,15.62
Ses01F_script02_1_F000,Fine.,neu,2.5,2.0,2.0,"[['neu'], ['neu'], ['neu']]",15.14,17.21
Ses01F_script02_1_M002,"Okay.  Is that, is that--",exc,3.5,4.5,2.5,"[['exc'], ['oth', 'sur'], ['exc']]",16.96,20.0
Ses01F_script02_1_M003,No.  That's just foam.  I don't know.  I can't tell.,xxx,2.5,2.5,1.5,"[['sad'], ['oth'], ['exc']]",20.05,26.65
Ses01F_script02_1_F001,[BREATHING],fru,2.5,2.0,2.5,"[['fru'], ['fru'], ['neu']]",25.91,27.4125
Ses01F_script02_1_M004,"I don't know, probably if you can't tell, though, it's probably not them, right?  It's probably going to be like this unmistakable thing, right?",xxx,4.5,3.0,2.5,"[['exc'], ['hap'], ['exc', 'hap']]",27.13,35.7987
Ses01F_script02_1_M005,Oh no.  you know what I forgot?,xxx,3.0,4.0,2.5,"[['sad'], ['fru', 'sur'], ['exc']]",35.899,39.48
Ses01F_script02_1_F002,What?,xxx,2.0,2.0,2.5,"[['neu'], ['sur'], ['fru']]",38.99,40.05
Ses01F_script02_1_M006,"My flashlight.  God, how could I be so stupid?  I can't believe I forgot my flashlight.",xxx,2.0,2.5,2.5,"[['ang'], ['fru'], ['sur']]",39.5,45.45
Ses01F_script02_1_F003,What flashlight?,sur,2.5,3.0,3.0,"[['neu'], ['sur'], ['sur']]",45.06,47.03
Ses01F_script02_1_M007,"The flashlight, the silver one.  There's only one, isn't there?",neu,3.0,2.5,2.5,"[['neu'], ['neu'], ['neu']]",46.42,49.95
Ses01F_script02_1_F004,That's not your flashlight.,neu,2.0,3.0,3.0,"[['neu'], ['fru', 'dis'], ['neu']]",49.22,51.4
Ses01F_script02_1_M008,Whose is it?,neu,3.0,2.0,2.0,"[['neu'], ['oth'], ['neu']]",50.85,52.4
Ses01F_script02_1_F005,It's ours; it's my flashlight too.,xxx,2.0,3.5,3.0,"[['ang'], ['fru', 'ang'], ['fru']]",51.87,54.23
Ses01F_script02_1_M009,"Oh...well. Yeah, of course.",neu,2.5,2.0,2.0,"[['neu'], ['neu'], ['neu']]",53.76,55.48
Ses01F_script02_1_F006,You keep saying my flashlight like it's just yours.,ang,2.0,3.5,3.0,"[['ang'], ['ang'], ['fru']]",54.72,57.69
Ses01F_script02_1_M010,No.,neu,3.0,3.5,1.5,"[['neu'], ['neu'], ['sur']]",57.29,58.42
Ses01F_script02_1_F007,How's that supposed to make me feel?,ang,2.0,3.5,2.5,"[['ang'], ['fru'], ['ang']]",57.75,59.57
Ses01F_script02_1_M011,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",neu,2.5,2.0,2.0,"[['neu'], ['fru'], ['neu']]",58.88,65.6016
Ses01F_script02_1_M012,"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.",fru,3.5,3.0,2.5,"[['neu'], ['fru'], ['fru']]",65.727,73.01
Ses01F_script02_1_M013,Do they always run during a full moon?  I don't remember.  Was it full last year?,neu,3.0,3.0,2.0,"[['neu'], ['neu', 'oth'], ['neu']]",73.1527,77.14
Ses01F_script02_1_F008,Yeah.,neu,2.5,1.5,3.0,"[['fru'], ['neu'], ['neu']]",76.27,77.64
Ses01F_script02_1_M014,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",neu,3.5,3.0,2.0,"[['neu'], ['neu'], ['neu']]",77.19,87.6779
Ses01F_script02_1_M015,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",neu,3.5,3.0,2.5,"[['neu'], ['neu'], ['neu']]",87.825,94.5265
Ses01F_script02_1_M016,"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.",exc,4.0,4.0,2.5,"[['exc'], ['oth', 'hap'], ['exc']]",94.64,100.4
Ses01F_script02_1_F009,[LAUGHTER],hap,4.0,2.5,2.0,"[['hap'], ['hap'], ['neu']]",101.72,103.5025
Ses01F_script02_1_M017,I wonder if they can hear me talk or like feel the vibrations in the sand when we move around.,xxx,4.0,2.5,2.0,"[['neu'], ['oth', 'fea'], ['hap']]",104.25,111.23
Ses01F_script02_1_F010,I'm cold.,sad,2.0,2.0,2.5,"[['sad'], ['sad'], ['neu']]",110.77,112.69
Ses01F_script02_1_M018,Do you want my jacket?,fru,3.5,3.0,2.5,"[['neu'], ['fru'], ['fru']]",112.19,114.35
Ses01F_script02_1_F011,"It's after eleven, let's go.",xxx,2.0,2.0,2.5,"[['oth'], ['fru'], ['neu']]",113.79,115.98
Ses01F_script02_1_M019,What?  We just got here.  What's the point of coming all the way down here if we just turn around and go home?,xxx,3.0,3.5,2.0,"[['sur'], ['fru', 'oth'], ['neu']]",115.8753,121.9194
Ses01F_script02_1_F012,There is no point.,xxx,2.5,3.0,2.5,"[['ang'], ['dis'], ['neu']]",121.65,123.23
Ses01F_script02_1_M020,Right.,neu,4.0,3.0,2.5,"[['neu'], ['fru'], ['neu']]",122.7,124.59
Ses01F_script02_1_F013,That's my point.,xxx,2.5,3.5,3.0,"[['ang'], ['fru'], ['neu']]",124.05,126.04
Ses01F_script02_1_M021,"Wait, that's my point, too.",neu,3.0,2.0,2.5,"[['neu'], ['fru'], ['neu']]",125.75,127.96
Ses01F_script02_1_F014,"Well, then let's go.",fru,2.5,2.5,2.5,"[['ang'], ['fru'], ['fru']]",127.44,129.39
Ses01F_script02_1_M022,"No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?",fru,3.0,3.0,3.0,"[['ang'], ['fru'], ['fru']]",128.8,137.74
